slide;exp_trial;day;treatment;rep;bird_sp;bird_id;bird_sex;bill_length;bill_width_base;bill_width_tip;head;pollen_stigma;pollen_tape;owner_pollen;col_pollen;total_labeled_pollen;plant_sp;place_exp;obs;
;1;4.11;T;1;SDC;1;female;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;mto pollen no stigma;
;1;4.11;T;1;SDC;1;female;;;;;;0;2_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;1;4.11;C;1;SDC;1;female;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;2;4.11;T;1;SDC;2;male;;;;;;0;1_male;;1;Watsonia;Bruce's house - Betty'sBay;;
;2;4.11;T;1;SDC;2;male;;;;;;0;2_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;2;4.11;C;1;SDC;2;male;;;;;;43;1_male;;45;Watsonia;Bruce's house - Betty'sBay;;
;3;5.11;T;1;SDC;1;female;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;several pollen;
;3;5.11;T;1;SDC;1;female;;;;;;3;2_male;;3;Watsonia;Bruce's house - Betty'sBay;;
;3;5.11;C;1;SDC;1;female;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;few pollen;
;4;5.11;C;2;SDC;1;female;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;4;5.11;T;2;SDC;1;female;;;;;;0;1_male;;2;Watsonia;Bruce's house - Betty'sBay;;
;4;5.11;T;2;SDC;1;female;;;;;;0;2_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;5;5.11;T;1;SDC;2;male;;;;;;0;1_male;;1;Watsonia;Bruce's house - Betty'sBay;;
;5;5.11;T;1;SDC;2;male;;;;;;0;2_male;;2;Watsonia;Bruce's house - Betty'sBay;;
;5;5.11;C;1;SDC;2;male;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;6;5.11;C;2;SDC;2;male;;;;;;1;1_male;;1;Watsonia;Bruce's house - Betty'sBay;lots of pinkish pollen;
;6;5.11;T;2;SDC;2;male;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;lots of pinkish pollen;
;6;5.11;T;2;SDC;2;male;;;;;;0;2_male;;0;Watsonia;Bruce's house - Betty'sBay;lots of pinkish pollen;
;7;6.11;T;1;SDC;1;female;;;;;;0;1_male;;1;Watsonia;Bruce's house - Betty'sBay;lots of pollen;
;7;6.11;T;1;SDC;1;female;;;;;;0;2_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;7;6.11;C;1;SDC;1;female;;;;;;6;1_male;;7;Watsonia;Bruce's house - Betty'sBay;;
;8;7.11;T;1;SDC;1;female;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;8;7.11;T;1;SDC;1;female;;;;;;1;2_male;;1;Watsonia;Bruce's house - Betty'sBay;;
;8;7.11;C;1;SDC;1;female;;;;;;24;1_male;;26;Watsonia;Bruce's house - Betty'sBay;lots of pollen;
;9;7.11;C;2;SDC;1;female;;;;;;23;1_male;;25;Watsonia;Bruce's house - Betty'sBay;;
;9;7.11;T;2;SDC;1;female;;;;;;NA;1_male;;1;Watsonia;Bruce's house - Betty'sBay;;
;9;7.11;T;2;SDC;1;female;;;;;;NA;1_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;10;7.11;C;1;SDC;2;male;;;;;;0;1_male;;1;Watsonia;Bruce's house - Betty'sBay;lots of pinkish pollen;
;10;7.11;T;1;SDC;2;male;;;;;;0;1_male;;1;Watsonia;Bruce's house - Betty'sBay;;
;10;7.11;T;1;SDC;2;male;;;;;;2;2_male;;2;Watsonia;Bruce's house - Betty'sBay;;
;11;7.11;T;2;SDC;2;male;;;;;;0;1_male;;1;Watsonia;Bruce's house - Betty'sBay;;
;11;7.11;T;2;SDC;2;male;;;;;;0;2_male;;2;Watsonia;Bruce's house - Betty'sBay;;
;11;7.11;C;2;SDC;2;male;;;;;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;12;13.11;T;1;SDC;3;male;19.8;4.7;0.5;35;;0;1_male;;4;Watsonia;Bruce's house - Betty'sBay;;
;12;13.11;T;1;SDC;3;male;19.8;4.7;0.5;35;;0;2_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;12;13.11;C;1;SDC;3;male;19.8;4.7;0.5;35;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;few pollen grains;
;13;13.11;T;2;SDC;3;male;19.8;4.7;0.5;35;;0;1_male;;0;Watsonia;Bruce's house - Betty'sBay;;
;13;13.11;T;2;SDC;3;male;19.8;4.7;0.5;35;;0;2_male;;0;Watsonia;Bruce's house - Betty'sBay;;
